OR4F5	NM_001005484
SEC22B	NM_004892
NOTCH2NL	NM_203458
RP11-458D21.5	ENST00000468030
NBPF10	NM_001039703
HFE2	NM_213653
TXNIP	NM_006472
POLR3GL	NM_032305
ANKRD34A	NM_001039888
LIX1L	NM_153713
RBM8A	NM_005105
PEX11B	NM_003846
ITGA10	NM_003637
ANKRD35	NM_144698
PIAS3	NM_006099
NUDT17	NM_001012758
POLR3C	NM_006468
RNF115	NM_014455
CD160	NM_007053
PDZK1	NM_001201325
GPR89A	NM_001097612
GPR89C	ENST00000447947
NBPF11	NM_183372
NBPF12	NM_001278141
PRKAB2	NM_005399
FMO5	NM_001461
CHD1L	NM_004284
BCL9	NM_004326
ACP6	NM_016361
GJA5	NM_005266
GJA8	NM_005267
GPR89B	NM_016334
NBPF24	ENST00000369228
BX842679.1	ENST00000599640
PPIAL4A	ENST00000539781
PPIAL4F	NM_001164262
PPIAL4D	NM_001164261
PPIAL4E	NM_001144032
NBPF14	NM_015383
NBPF15	NM_173638
NBPF16	ENST00000417839
HIST2H3PS2	ENST00000392948
FAM231D	ENST00000369173
FCGR1A	NM_000566
HIST2H2BF	NM_001161334
HIST2H3D	NM_001123375
HIST2H4B	NM_001034077
HIST2H4A	NM_003548
HIST2H3A	NM_001005464
HIST2H3C	NM_021059
HIST2H2AA3	NM_003516
HIST2H2AA4	NM_001040874
HIST2H2BE	NM_003528
HIST2H2AC	NM_003517
HIST2H2AB	NM_175065
BOLA1	NM_016074
SV2A	NM_014849
SF3B4	NM_005850
MTMR11	NM_001145862
OTUD7B	NM_020205
VPS45	NM_007259
PLEKHO1	NM_016274
ANP32E	NM_030920
CA14	NM_012113
APH1A	NM_001077628
C1orf54	NM_001301039
C1orf51	NM_001300838
CIART	NM_144697
MRPS21	NM_018997
PRPF3	NM_004698
RPRD2	NM_015203
TARS2	NM_025150
ECM1	NM_001202858
AL356356.1	ENST00000538795
ADAMTSL4	NM_001288608
ADAMTSL4-AS1	ENST00000369035
MCL1	NM_021960
ENSA	NM_207042
GOLPH3L	NM_018178
HORMAD1	NM_032132
CTSS	NM_004079
CTSK	NM_000396
ARNT	NM_001668
SETDB1	NM_001145415
CERS2	NM_181746
ANXA9	NM_003568
FAM63A	NM_001163258
PRUNE	NM_021222
BNIPL	NM_138278
C1orf56	NM_017860
CDC42SE1	NM_020239
MLLT11	NM_006818
GABPB2	NM_144618
SEMA6C	NM_001178061
TNFAIP8L2	NM_024575
LYSMD1	NM_212551
SCNM1	NM_024041
TNFAIP8L2-SCNM1	NM_001204848
TMOD4	NM_013353
VPS72	NM_001271087
PIP5K1A	NM_001135638
PSMD4	NM_002810
RP11-126K1.2	ENST00000447795
ZNF687	NM_020832
PI4KB	NM_002651
RFX5	NM_000449
SELENBP1	NM_001258289
PSMB4	NM_002796
POGZ	NM_015100
CGN	NM_020770
TUFT1	NM_001301317
SNX27	NM_030918
CELF3	NM_007185
AL589765.1	ENST00000442233
RIIAD1	NM_001144956
MRPL9	NM_031420
OAZ3	NM_016178
TDRKH	NM_006862
LINGO4	NM_001004432
RORC	NM_005060
C2CD4D	NM_001136003
THEM5	NM_182578
THEM4	NM_053055
S100A10	NM_002966
S100A11	NM_005620
TCHHL1	NM_001008536
TCHH	NM_007113
RPTN	NM_001122965
HRNR	NM_001009931
FLG	NM_002016
FLG2	NM_001014342
CRNN	NM_016190
LCE5A	NM_178438
CRCT1	NM_019060
LCE3E	NM_178435
LCE3D	NM_032563
LCE3C	NM_178434
LCE3B	NM_178433
LCE3A	NM_178431
LCE2D	NM_178430
LCE2C	NM_178429
LCE2B	NM_014357
LCE2A	NM_178428
LCE4A	NM_178356
C1orf68	NM_001024679
KPRP	NM_001025231
LCE1F	NM_178354
LCE1E	NM_178353
LCE1D	NM_178352
LCE1C	NM_178351
LCE1B	NM_178349
LCE1A	NM_178348
LCE6A	NM_001128600
SMCP	NM_030663
IVL	NM_005547
SPRR4	NM_173080
SPRR1A	NM_001199828
SPRR3	NM_005416
SPRR1B	NM_003125
SPRR2D	NM_006945
SPRR2A	NM_005988
SPRR2B	NM_001017418
SPRR2E	NM_001024209
SPRR2F	NM_001014450
SPRR2G	NM_001014291
LELP1	NM_001010857
PRR9	NM_001195571
LOR	NM_000427
PGLYRP3	NM_052891
PGLYRP4	NM_020393
S100A9	NM_002965
S100A12	NM_005621
S100A8	NM_002964
S100A7A	NM_176823
S100A7L2	NM_001045479
S100A7	NM_002963
S100A6	NM_014624
S100A5	NM_002962
S100A4	NM_002961
S100A3	NM_002960
S100A2	NM_005978
S100A16	NM_080388
S100A14	NM_020672
S100A13	NM_005979
S100A1	NM_006271
CHTOP	NM_001206612
SNAPIN	NM_012437
ILF2	NM_004515
NPR1	NM_000906
INTS3	NM_023015
SLC27A3	NM_024330
GATAD2B	NM_020699
DENND4B	NM_014856
CRTC2	NM_181715
SLC39A1	NM_001271960
CREB3L4	NM_130898
JTB	NM_006694
RAB13	NM_002870
RPS27	NM_001030
NUP210L	NM_207308
TPM3	NM_152263
C1orf189	NM_001010979
C1orf43	NM_001098616
UBAP2L	NM_014847
HAX1	NM_006118
AQP10	NM_080429
ATP8B2	NM_020452
IL6R	NM_000565
SHE	NM_001010846
TDRD10	NM_001098475
UBE2Q1	NM_017582
CHRNB2	NM_000748
ADAR	NM_001111
AL606500.1	ENST00000594394
KCNN3	NM_001204087
PMVK	NM_006556
PBXIP1	NM_020524
PYGO2	NM_138300
SHC1	NM_001130040
CKS1B	NM_001826
FLAD1	NM_025207
LENEP	NM_018655
ZBTB7B	NM_001252406
DCST2	NM_144622
DCST1	NM_152494
ADAM15	NM_207197
EFNA4	NM_182689
EFNA3	NM_004952
EFNA1	NM_004428
SLC50A1	NM_018845
DPM3	NM_018973
RP11-201K10.3	ENST00000473363
KRTCAP2	NM_173852
TRIM46	NM_025058
MUC1	NM_001204286
THBS3	NM_007112
MTX1	NM_002455
GBA	NM_000157
FAM189B	NM_006589
SCAMP3	NM_005698
CLK2	NM_001294338
HCN3	NM_020897
PKLR	NM_000298
FDPS	NM_001135821
RUSC1-AS1	NM_001039517
RUSC1	NM_001105203
ASH1L	NM_018489
MSTO1	NM_018116
YY1AP1	NM_001198903
DAP3	NM_033657
GON4L	NM_001282856
SYT11	NM_152280
RIT1	NM_001256821
KIAA0907	NM_014949
RXFP4	NM_181885
ARHGEF2	NM_001162383
SSR2	NM_003145
UBQLN4	NM_020131
LAMTOR2	NM_014017
RAB25	NM_020387
MEX3A	NM_001093725
LMNA	NM_170707
SEMA4A	NM_001193301
SLC25A44	NM_001286184
PMF1-BGLAP	NM_001199661
PMF1	NM_001199654
BGLAP	NM_199173
PAQR6	NM_001272104
SMG5	NM_015327
TMEM79	NM_032323
C1orf85	NM_144580
VHLL	NM_001004319
CCT3	NM_005998
TSACC	NM_144627
RHBG	NM_020407
C1orf61	NM_006365
MEF2D	NM_005920
IQGAP3	NM_178229
TTC24	NM_001105669
APOA1BP	NM_144772
GPATCH4	NM_015590
HAPLN2	NM_021817
BCAN	NM_021948
NES	NM_006617
CRABP2	NM_001878
ISG20L2	NM_030980
RRNAD1	NM_015997
MRPL24	NM_024540
HDGF	NM_001126050
PRCC	NM_005973
SH2D2A	NM_001161441
INSRR	NM_014215
NTRK1	NM_002529
PEAR1	NM_001080471
LRRC71	NM_144702
ARHGEF11	NM_198236
ETV3L	NM_001004341
ETV3	NM_001145312
FCRL5	NM_001195388
FCRL4	NM_031282
FCRL3	NM_052939
FCRL2	NM_030764
FCRL1	NM_052938
CD5L	NM_005894
KIRREL	NM_018240
CD1D	NM_001766
CD1A	NM_001763
CD1C	NM_001765
CD1B	NM_001764
CD1E	NM_030893
OR10T2	NM_001004475
OR10K2	NM_001004476
OR10K1	NM_001004473
OR10R2	NM_001004472
OR6Y1	NM_001005189
OR6P1	NM_001160325
OR10X1	NM_001004477
OR10Z1	NM_001004478
SPTA1	NM_003126
OR6K2	NM_001005279
OR6K3	NM_001005327
OR6K6	NM_001005184
OR6N1	NM_001005185
OR6N2	NM_001005278
MNDA	NM_002432
PYHIN1	NM_152501
IFI16	NM_001206567
AIM2	NM_004833
CADM3	NM_021189
DARC	ENST00000537147
ACKR1	NM_002036
FCER1A	NM_002001
OR10J3	NM_001004467
OR10J1	NM_012351
OR10J5	NM_001004469
APCS	NM_001639
CRP	NM_000567
DUSP23	NM_017823
FCRL6	NM_001004310
SLAMF8	NM_020125
C1orf204	NM_001134233
VSIG8	NM_001013661
RP11-190A12.7	ENST00000536779
CCDC19	NM_012337
AL590560.1	ENST00000599780
TAGLN2	NM_001277224
IGSF9	NM_001135050
SLAMF9	NM_033438
PIGM	NM_145167
KCNJ10	NM_002241
KCNJ9	NM_004983
IGSF8	NM_052868
ATP1A2	NM_000702
ATP1A4	NM_144699
CASQ1	NM_001231
PEA15	NM_001297576
DCAF8	NM_015726
PEX19	NM_002857
COPA	NM_001098398
NCSTN	NM_015331
NHLH1	NM_005598
VANGL2	NM_020335
SLAMF6	NM_001184714
CD84	NM_001184879
SLAMF1	NM_003037
CD48	NM_001778
SLAMF7	NM_021181
LY9	NM_002348
CD244	NM_001166663
ITLN1	NM_017625
ITLN2	NM_080878
F11R	NM_016946
RP11-544M22.13	ENST00000289779
TSTD1	NM_001113207
USF1	NM_001276373
ARHGAP30	NM_001025598
AL591806.1	ENST00000600454
PVRL4	NM_030916
KLHDC9	NM_152366
PFDN2	NM_012394
NIT1	NM_005600
DEDD	NM_032998
UFC1	NM_016406
USP21	NM_012475
PPOX	NM_000309
B4GALT3	NM_001199874
ADAMTS4	NM_005099
NDUFS2	NM_004550
FCER1G	NM_004106
AL590714.1	ENST00000594609
APOA2	NM_001643
TOMM40L	NM_032174
NR1I3	NM_001077482
PCP4L1	NM_001102566
MPZ	NM_000530
SDHC	NM_003001
C1orf192	NM_001013625
FCGR2A	NM_001136219
HSPA6	NM_002155
FCGR3A	NM_000569
FCGR2C	NM_201563
FCGR3B	NM_001244753
FCGR2B	NM_004001
FCRLA	NM_001184866
FCRLB	NM_001002901
DUSP12	NM_007240
ATF6	NM_007348
OLFML2B	NM_001297713
NOS1AP	NM_014697
RP11-565P22.6	ENST00000431696
C1orf111	NM_182581
C1orf226	NM_001135240
SH2D1B	NM_053282
UHMK1	NM_175866
UAP1	NM_003115
DDR2	NM_001014796
HSD17B7	NM_016371
C1orf110	NM_178550
RGS4	NM_001102445
RGS5	NM_001254749
NUF2	NM_031423
PBX1	NM_002585
LMX1A	NM_001174069
RXRG	NM_006917
LRRC52	NM_001005214
MGST3	NM_004528
ALDH9A1	NM_000696
TMCO1	NM_019026
UCK2	NM_012474
AL626787.1	ENST00000595430
FAM78B	NM_001017961
POGK	NM_017542
TADA1	NM_053053
ILDR2	NM_199351
MAEL	NM_032858
GPA33	NM_005814
DUSP27	NM_001080426
POU2F1	NM_002697
CD247	NM_000734
CREG1	NM_003851
RCSD1	NM_052862
MPZL1	NM_003953
ADCY10	NM_018417
MPC2	NM_001143674
DCAF6	NM_001198956
GPR161	NM_001267609
TIPRL	NM_152902
SFT2D2	NM_199344
TBX19	NM_005149
XCL2	NM_003175
XCL1	NM_002995
DPT	NM_001937
ATP1B1	NM_001677
NME7	NM_013330
BLZF1	NM_003666
CCDC181	NM_001300969
SLC19A2	NM_006996
F5	NM_000130
SELP	NM_003005
SELL	NM_000655
SELE	NM_000450
METTL18	NM_033418
C1orf112	NM_018186
SCYL3	NM_181093
KIFAP3	NM_014970
METTL11B	NM_001136107
GORAB	NM_152281
PRRX1	NM_022716
MROH9	NM_001163629
FMO3	NM_006894
FMO6P	ENST00000236166
FMO2	NM_001460
FMO1	NM_001282692
FMO4	NM_002022
PRRC2C	NM_015172
MYOC	NM_000261
VAMP4	NM_003762
METTL13	NM_015935
DNM3	NM_015569
C1orf105	NM_139240
PIGC	NM_002642
SUCO	NM_016227
FASLG	NM_000639
TNFSF18	NM_005092
TNFSF4	NM_003326
PRDX6	NM_004905
SLC9C2	NM_178527
ANKRD45	NM_198493
LOC730159	NM_001195190
KLHL20	NM_014458
CENPL	NM_001127181
DARS2	NM_018122
ZBTB37	NM_001122770
SERPINC1	NM_000488
RC3H1	NM_001300850
RABGAP1L	NM_014857
GPR52	NM_005684
CACYBP	NM_014412
MRPS14	NM_022100
TNN	NM_022093
KIAA0040	NM_001162893
TNR	NM_003285
RFWD2	NM_022457
PAPPA2	NM_020318
ASTN1	NM_004319
BRINP2	NM_021165
SEC16B	NM_033127
RASAL2	NM_170692
TEX35	NM_032126
C1orf220	ENST00000319387
C1ORF220	ENST00000367636
RALGPS2	NM_152663
ANGPTL1	NM_004673
FAM20B	NM_014864
TOR3A	NM_022371
ABL2	NM_007314
SOAT1	NM_003101
AXDND1	NM_144696
AL160286.1	ENST00000600581
NPHS2	NM_014625
TDRD5	NM_001199085
FAM163A	NM_173509
TOR1AIP2	NM_145034
IFRG15	ENST00000553856
TOR1AIP1	NM_001267578
CEP350	NM_014810
QSOX1	NM_002826
LHX4	NM_033343
ACBD6	NM_032360
XPR1	NM_004736
KIAA1614	NM_020950
AL162431.1	ENST00000457152
STX6	NM_005819
MR1	NM_001531
IER5	NM_016545
CACNA1E	NM_000721
ZNF648	NM_001009992
GLUL	NM_001033044
TEDDM1	NM_172000
RGSL1	NM_001137669
RNASEL	NM_021133
RGS16	NM_002928
RGS8	NM_033345
NPL	NM_030769
DHX9	NM_001357
SHCBP1L	NM_030933
LAMC1	NM_002293
LAMC2	NM_005562
NMNAT2	NM_015039
SMG7	NM_201569
NCF2	NM_001127651
ARPC5	NM_001270439
APOBEC4	NM_203454
RGL1	NM_015149
COLGALT2	NM_015101
TSEN15	NM_001300764
C1orf21	NM_030806
EDEM3	NM_025191
FAM129A	NM_052966
RNF2	NM_007212
TRMT1L	NM_030934
SWT1	NM_017673
IVNS1ABP	NM_006469
HMCN1	NM_031935
PRG4	NM_005807
TPR	NM_003292
C1orf27	NM_017847
AL596220.1	ENST00000598663
OCLM	NM_022375
PDC	NM_002597
PTGS2	NM_000963
PLA2G4A	NM_024420
BRINP3	NM_199051
RGS18	NM_130782
RGS21	NM_001039152
RGS1	NM_002922
RGS13	NM_144766
RGS2	NM_002923
UCHL5	NM_015984
TROVE2	NM_001042370
GLRX2	NM_016066
CDC73	NM_024529
B3GALT2	NM_003783
KCNT2	NM_198503
CFH	NM_000186
CFHR3	NM_021023
CFHR1	NM_002113
CFHR4	NM_001201550
CFHR2	NM_005666
CFHR5	NM_030787
F13B	NM_001994
ASPM	NM_018136
ZBTB41	NM_194314
CRB1	NM_201253
DENND1B	NM_001195215
C1orf53	NM_001024594
LHX9	NM_001014434
NEK7	NM_133494
ATP6V1G3	NM_133262
PTPRC	NM_002838
NR5A2	NM_205860
ZNF281	NM_012482
KIF14	NM_014875
DDX59	NM_001031725
CAMSAP2	NM_001297707
GPR25	NM_005298
C1orf106	NM_018265
KIF21B	NM_001252100
CACNA1S	NM_000069
ASCL5	NM_001270601
TMEM9	NM_001288571
IGFN1	NM_001164586
PKP1	NM_000299
TNNT2	NM_001276345
LAD1	NM_005558
TNNI1	NM_003281
PHLDA3	NM_012396
CSRP1	NM_004078
AC096677.1	ENST00000593583
NAV1	NM_020443
IPO9	NM_018085
SHISA4	NM_198149
LMOD1	NM_012134
TIMM17A	NM_006335
RNPEP	NM_020216
ELF3	NM_001114309
GPR37L1	NM_004767
ARL8A	NM_138795
PTPN7	NM_002832
LGR6	NM_001017403
UBE2T	NM_014176
PPP1R12B	NM_002481
SYT2	NM_001136504
KDM5B	NM_006618
RP11-480I12.4	ENST00000330493
RABIF	NM_002871
KLHL12	NM_021633
ADIPOR1	NM_015999
CYB5R1	NM_016243
TMEM183A	NM_138391
TMEM183B	NM_001079809
PPFIA4	NM_015053
MYOG	NM_002479
ADORA1	NM_000674
MYBPH	NM_004997
CHI3L1	NM_001276
CHIT1	NM_003465
BTG2	NM_006763
FMOD	NM_002023
PRELP	NM_002725
OPTC	NM_014359
ATP2B4	NM_001684
LAX1	NM_017773
ZBED6	NM_001174108
ZC3H11A	NM_014827
SNRPE	NM_003094
SOX13	NM_005686
ETNK2	NM_018208
REN	NM_000537
KISS1	NM_002256
GOLT1A	NM_198447
PLEKHA6	NM_014935
PPP1R15B	NM_032833
PIK3C2B	NM_002646
MDM4	NM_002393
LRRN2	NM_006338
NFASC	NM_001005388
CNTN2	NM_005076
TMEM81	NM_203376
RBBP5	NM_005057
DSTYK	NM_015375
TMCC2	NM_014858
NUAK2	NM_030952
KLHDC8A	NM_001271865
LEMD1	NM_001199050
CDK18	NM_212503
MFSD4	NM_181644
ELK4	NM_001973
SLC45A3	NM_033102
AC119673.1	ENST00000598338
NUCKS1	NM_022731
RAB29	NM_001135662
RAB7L1	ENST00000367139
SLC41A1	NM_173854
PM20D1	NM_152491
SLC26A9	NM_134325
FAM72A	NM_001123168
AVPR1B	NM_000707
C1orf186	NM_001007544
CTSE	NM_001910
SRGAP2B	NM_001271870
SRGAP2C	NM_001271872
SRGAP2	NM_015326
IKBKE	NM_014002
C1orf147	ENST00000367119
RASSF5	NM_182663
EIF2D	NM_006893
DYRK3	NM_003582
MAPKAPK2	NM_032960
IL10	NM_000572
IL19	NM_153758
IL20	NM_018724
IL24	NM_001185156
FAIM3	NM_005449
PIGR	NM_002644
FCAMR	NM_001170631
C1orf116	NM_023938
YOD1	NM_018566
PFKFB2	NM_006212
C4BPB	NM_001017367
C4BPA	NM_000715
CD55	NM_001114752
CR2	NM_001006658
CR1	NM_000651
CR1L	NM_175710
CD46	NM_172359
CD34	NM_001025109
PLXNA2	NM_025179
MIR205HG	NM_001104548
CAMK1G	NM_020439
LAMB3	NM_000228
G0S2	NM_015714
HSD11B1	NM_181755
TRAF3IP3	NM_025228
C1orf74	NM_152485
IRF6	NM_006147
DIEXF	NM_014388
SYT14	NM_001146261
SERTAD4	NM_019605
HHAT	NM_001170587
KCNH1	NM_172362
RCOR3	NM_001136223
TRAF5	NM_145759
RD3	NM_183059
SLC30A1	NM_021194
NEK2	NM_002497
LPGAT1	NM_014873
INTS7	NM_015434
DTL	NM_016448
PPP2R5A	NM_006243
TMEM206	NM_001198862
NENF	NM_013349
ATF3	NM_001030287
FAM71A	NM_153606
BATF3	NM_018664
NSL1	NM_015471
TATDN3	NM_001146171
C1orf227	ENST00000332912
SPATA45	NM_001024601
FLVCR1	NM_014053
VASH2	NM_001301056
ANGEL2	NM_144567
RPS6KC1	NM_012424
PROX1	NM_002763
SMYD2	NM_020197
PTPN14	NM_005401
CENPF	NM_016343
KCNK2	NM_001017425
KCTD3	NM_016121
USH2A	NM_206933
ESRRG	NM_001243518
GPATCH2	NM_018040
SPATA17	NM_138796
RRP15	NM_016052
TGFB2	NM_001135599
C1orf143	ENST00000443836
LYPLAL1	NM_138794
SLC30A10	NM_018713
EPRS	NM_004446
BPNT1	NM_006085
IARS2	NM_018060
RAB3GAP2	NM_012414
AC096644.1	ENST00000416839
MARK1	NM_001286124
C1orf115	NM_024709
MARC2	NM_017898
MARC1	NM_022746
HLX	NM_021958
DUSP10	NM_007207
HHIPL2	NM_024746
TAF1A	NM_001201536
MIA3	NM_198551
AIDA	NM_022831
BROX	NM_144695
FAM177B	NM_207468
DISP1	NM_032890
TLR5	NM_003268
SUSD4	NM_017982
CCDC185	NM_152610
C1orf65	ENST00000366875
CAPN8	NM_001143962
CAPN2	NM_001748
TP53BP2	NM_001031685
AC138393.1	ENST00000600307
FBXO28	NM_015176
DEGS1	NM_003676
NVL	NM_002533
CNIH4	NM_014184
WDR26	NM_025160
CNIH3	NM_152495
DNAH14	NM_001373
LBR	NM_002296
AC092811.1	ENST00000366845
ENAH	NM_001008493
SRP9	NM_003133
EPHX1	NM_000120
TMEM63A	NM_014698
LEFTY1	NM_020997
RP4-559A3.7	ENST00000432920
PYCR2	NM_013328
LEFTY2	NM_003240
SDE2	NM_152608
H3F3A	NM_002107
ACBD3	NM_022735
MIXL1	NM_001282402
LIN9	NM_173083
PARP1	NM_001618
C1orf95	NM_001003665
ITPKB	NM_002221
PSEN2	NM_000447
ADCK3	NM_020247
CDC42BPA	NM_003607
ZNF678	NM_178549
JMJD4	NM_023007
SNAP47	NM_053052
PRSS38	NM_183062
WNT9A	NM_003395
WNT3A	NM_033131
ARF1	NM_001658
C1orf35	NM_024319
MRPL55	NM_181462
GUK1	NM_001242840
GJC2	NM_020435
IBA57-AS1	ENST00000366713
IBA57	NM_001010867
OBSCN	NM_001098623
C1orf145	ENST00000337335
TRIM11	NM_145214
TRIM17	NM_001024940
HIST3H3	NM_003493
HIST3H2A	NM_033445
HIST3H2BB	NM_175055
RNF187	NM_001010858
BTNL10	NM_001287262
RHOU	NM_021205
TMEM78	ENST00000323223
RAB4A	NM_004578
SPHAR	NM_006542
CCSAP	NM_145257
ACTA1	NM_001100
NUP133	NM_018230
ABCB10	NM_012089
TAF5L	NM_014409
URB2	NM_014777
GALNT2	NM_004481
PGBD5	NM_001258311
COG2	NM_007357
AGT	NM_000029
CAPN9	NM_006615
C1orf198	NM_032800
TTC13	NM_024525
ARV1	NM_022786
FAM89A	NM_198552
TRIM67	NM_001004342
LOC149373	NM_001256615
C1orf131	NM_152379
GNPAT	NM_014236
EXOC8	NM_175876
SPRTN	NM_032018
EGLN1	NM_022051
TSNAX-DISC1	ENST00000602956
TSNAX	NM_005999
DISC1	NM_001164537
SIPA1L2	NM_020808
MAP10	NM_019090
NTPCR	NM_032324
PCNXL2	NM_014801
MLK4	ENST00000366624
KIAA1804	NM_032435
KCNK1	NM_002245
SLC35F3	NM_173508
COA6	NM_001012985
TARBP1	NM_005646
IRF2BP2	NM_182972
TOMM20	NM_014765
RBM34	NM_015014
ARID4B	NM_001206794
GGPS1	NM_001037277
TBCE	NM_001079515
B3GALNT2	NM_152490
GNG4	NM_001098722
LYST	NM_000081
NID1	NM_002508
GPR137B	NM_003272
ERO1LB	NM_019891
EDARADD	NM_145861
LGALS8	NM_006499
HEATR1	NM_018072
ACTN2	NM_001103
MTR	NM_000254
MT1HL1	NM_001276687
RYR2	NM_001035
ZP4	NM_021186
MTRNR2L11	ENST00000604646
CHRM3	NM_000740
FMN2	NM_020066
AL646016.1	ENST00000596886
GREM2	NM_022469
RGS7	NM_002924
FH	NM_000143
KMO	NM_003679
OPN3	NM_014322
CHML	NM_001821
WDR64	NM_144625
EXO1	NM_130398
BECN1P1	NM_001290693
MAP1LC3C	NM_001004343
PLD5	NM_152666
CEP170	NM_014812
AC092782.1	ENST00000596590
SDCCAG8	NM_006642
AKT3	NM_005465
ZBTB18	NM_205768
AL590483.1	ENST00000598000
C1orf100	NM_001012970
ADSS	NM_001126
C1orf101	NM_001130957
DESI2	NM_016076
COX20	NM_198076
HNRNPU	NM_031844
RP11-156E8.1	ENST00000607453
EFCAB2	NM_001290327
KIF26B	NM_018012
SMYD3	NM_001167740
TFB2M	NM_022366
CNST	NM_152609
SCCPDH	NM_016002
AHCTF1	NM_015446
ZNF695	NM_020394
ZNF670	NM_033213
ZNF669	NM_024804
C1orf229	NM_207401
ZNF124	NM_001297568
VN1R5	NM_173858
ZNF496	NM_032752
NLRP3	NM_004895
OR2B11	NM_001004492
OR2W5	NM_001004698
OR2C3	NM_198074
GCSAML	NM_145278
OR2G2	NM_001001915
OR2G3	NM_001001914
OR13G1	NM_001005487
OR6F1	NM_001005286
OR14A2	ENST00000366485
OR14K1	ENST00000283225
OR1C1	NM_012353
OR14A16	NM_001001966
OR11L1	NM_001001959
TRIM58	NM_015431
OR2W3	NM_001001957
OR2T8	NM_001005522
OR2AJ1	ENST00000318244
OR2L8	NM_001001963
OR2AK2	NM_001004491
OR2L5	NM_001258284
OR2L2	NM_001004686
OR2L3	NM_001004687
OR2L13	NM_175911
OR2M5	NM_001004690
OR2M2	NM_001004688
OR2M3	NM_001004689
OR2M4	NM_017504
OR2T33	NM_001004695
OR2T12	NM_001004692
OR2M7	NM_001004691
OR14C36	NM_001001918
OR2T4	NM_001004696
OR2T6	NM_001005471
OR2T1	NM_030904
OR2T7	ENST00000460972
OR2T2	NM_001004136
OR2T3	NM_001005495
OR2T5	NM_001004697
OR2G6	NM_001013355
OR2T29	NM_001004694
OR2T34	NM_001001821
OR2T10	NM_001004693
OR2T11	NM_001001964
OR2T35	NM_001001827
OR2T27	NM_001001824
OR14I1	NM_001004734
LYPD8	NM_001085474
SH3BP5L	NM_030645
ZNF672	NM_024836
ZNF692	NM_001136036
PGBD2	NM_170725
TUBB8	NM_177987
ZMYND11	NM_006624
DIP2C	NM_014974
PRR26	ENST00000441152
LARP4B	NM_015155
AL359878.1	ENST00000381466
GTPBP4	NM_012341
IDI2	NM_033261
IDI1	NM_004508
WDR37	NM_014023
ADARB2	NM_018702
PFKP	NM_001242339
PITRM1	NM_001242307
KLF6	NM_001300
AKR1E2	NM_001040177
AKR1C1	NM_001353
AKR1C2	NM_001354
AKR1C3	NM_001253908
AKR1CL1	ENST00000473890
AKR1C4	NM_001818
UCN3	NM_053049
TUBAL3	NM_024803
NET1	NM_001047160
CALML5	NM_017422
CALML3	NM_005185
ASB13	NM_024701
FAM208B	NM_017782
GDI2	NM_001494
ANKRD16	NM_001009941
FBXO18	NM_032807
IL15RA	NM_001256765
IL2RA	NM_000417
RBM17	NM_001145547
PFKFB3	NM_001282630
DKFZP667F0711	ENST00000391437
PRKCQ	NM_006257
SFMBT2	NM_001018039
ITIH5	NM_030569
ITIH2	NM_002216
KIN	NM_012311
ATP5C1	NM_001001973
TAF3	NM_031923
GATA3	NM_001002295
CELF2	NM_006561
USP6NL	NM_001080491
ECHDC3	NM_024693
PROSER2	NM_153256
UPF2	NM_015542
DHTKD1	NM_018706
SEC61A2	NM_018144
NUDT5	NM_014142
CDC123	NM_006023
CAMK1D	NM_153498
CCDC3	NM_031455
OPTN	NM_021980
MCM10	NM_182751
UCMA	NM_145314
PHYH	NM_006214
AL138764.1	ENST00000429930
SEPHS1	NM_012247
BEND7	NM_152751
PRPF18	NM_003675
RP11-295P9.3	ENST00000601460
FRMD4A	NM_018027
FAM107B	NM_031453
CDNF	NM_001029954
HSPA14	NM_016299
SUV39H2	NM_001193424
DCLRE1C	NM_001033855
MEIG1	NM_001080836
OLAH	NM_018324
ACBD7	NM_001039844
C10orf111	NM_153244
RPP38	NM_183005
NMT2	NM_004808
FAM171A1	NM_001010924
ITGA8	NM_003638
FAM188A	NM_024948
PTER	NM_030664
C1QL3	NM_001010908
RSU1	NM_012425
CUBN	NM_001081
TRDMT1	NM_004412
VIM	NM_003380
ST8SIA6	NM_001004470
PTPLA	NM_014241
STAM	NM_003473
TMEM236	NM_001098844
MRC1L1	ENST00000331429
MRC1	NM_002438
SLC39A12	NM_001145195
CACNB2	NM_201596
NSUN6	NM_182543
RP11-139J15.7	ENST00000606425
ARL5B	NM_178815
MALRD1	NM_001142308
PLXDC2	NM_032812
NEBL	NM_006393
C10orf113	NM_001010896
CASC10	NM_001010911
SKIDA1	NM_207371
MLLT10	NM_001195626
DNAJC1	NM_022365
EBLN1	NM_001199938
COMMD3	NM_012071
COMMD3-BMI1	NM_001204062
BMI1	NM_005180
SPAG6	NM_012443
PIP4K2A	NM_005028
ARMC3	NM_173081
MSRB2	NM_012228
PTF1A	NM_178161
C10orf115	ENST00000376501
C10orf67	NM_153714
OTUD1	NM_001145373
KIAA1217	NM_019590
AL353583.1	ENST00000596413
ARHGAP21	NM_020824
PRTFDC1	NM_020200
ENKUR	NM_145010
THNSL1	NM_024838
GPR158	NM_020752
MYO3A	NM_017433
GAD2	NM_000818
APBB1IP	NM_019043
PDSS1	NM_014317
ABI1	NM_005470
ANKRD26	NM_014915
YME1L1	NM_139312
MASTL	NM_001172303
ACBD5	NM_145698
PTCHD3	NM_001034842
RAB18	NM_001256410
MKX	NM_173576
